Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-04-15,AMGN,Amgen Inc,5.48,9.855,16.94,24.74,34.225,46.215,54.755,59.645,63.4,66.785,124.07868194580078,124.40862043966592,122.12155719073286,122.3165156453371,3659300.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-16,AMGN,Amgen Inc,5.39,10.42,17.55,25.695,34.37,45.57,53.545,58.28,61.94,65.215,125.12844848632812,125.70584072435881,123.77871704017846,124.77601530328667,3085600.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-17,AMGN,Amgen Inc,5.945,10.0,17.605,25.735,33.855,47.715,57.555,63.14,67.355,71.095,122.66143035888672,124.10115232399899,121.26669791738841,123.72622437135851,4249700.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-20,AMGN,Amgen Inc,5.89,9.905,17.01,25.16,34.34,47.595,57.015,62.335,66.39,70.015,124.45356750488281,124.5135573416512,122.27148439023493,123.45625792215483,2760900.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-21,AMGN,Amgen Inc,5.94,9.99,16.585,24.725,34.665,47.465,56.555,61.7,65.625,69.165,126.32073211669922,126.6356702270779,125.27843285548411,125.29342173557843,3794800.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-22,AMGN,Amgen Inc,5.945,11.0,17.595,26.745,35.88,49.135,58.545,63.825,67.83,71.415,126.80064392089844,130.17499564797492,125.2334363118171,129.7550667107481,5352200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-23,AMGN,Amgen Inc,5.985,11.065,17.63,26.77,35.9,49.15,58.56,63.83,67.82,71.405,126.85308837890625,127.138037208519,124.91096484691111,125.93076906448876,3668100.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-24,AMGN,Amgen Inc,5.87,10.905,17.53,26.705,35.475,48.96,58.53,63.905,67.975,71.61,125.9083251953125,126.91312950114275,124.52108700214627,126.08828331462857,2548300.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-27,AMGN,Amgen Inc,5.89,10.955,17.615,26.835,35.65,49.195,58.795,64.18,68.25,71.885,121.76160430908203,126.51568795363166,121.13922254107044,126.34322430092021,4386200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-28,AMGN,Amgen Inc,5.75,10.67,17.155,26.095,34.605,47.865,57.31,62.64,66.68,70.305,121.8440933227539,123.9511866404436,120.44936084514568,121.58913361251867,4262800.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-29,AMGN,Amgen Inc,5.86,10.895,17.51,26.645,35.34,48.78,58.315,63.675,67.73,71.355,120.71179962158203,122.57145049241224,119.6245108545705,120.93675868004134,3281800.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-04-30,AMGN,Amgen Inc,5.86,10.9,17.515,26.645,35.34,48.78,58.31,63.66,67.705,71.32,118.40973663330078,121.2591910701912,117.32994240947771,119.85695289030535,4444300.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-01,AMGN,Amgen Inc,6.18,11.515,18.495,28.14,37.35,51.37,61.21,66.67,70.775,74.415,120.24685668945312,121.24416611179556,118.96459844875868,119.60198035026515,3259800.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-04,AMGN,Amgen Inc,5.98,11.145,17.895,27.205,36.075,49.695,59.32,64.705,68.765,72.38,121.55913543701172,122.94637337205491,121.06422781719056,121.10172289903625,3496200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-05,AMGN,Amgen Inc,6.185,11.53,18.525,28.17,37.365,51.355,61.165,66.615,70.695,74.325,119.5570068359375,121.61911022131379,119.40703796901562,120.95923347658821,3086000.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-06,AMGN,Amgen Inc,6.39,11.91,19.115,29.055,38.515,52.825,62.815,68.315,72.43,76.065,119.18958282470703,120.26937705907659,117.46491211380521,119.97693374075916,3762700.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-07,AMGN,Amgen Inc,6.935,11.41,19.575,29.195,38.355,52.18,61.96,67.385,71.45,75.045,118.40225219726562,119.84198571772274,117.87735531058541,119.40706788536085,4374000.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-08,AMGN,Amgen Inc,6.925,10.935,19.575,28.72,38.355,51.905,61.5,66.825,70.82,74.385,121.73162841796875,122.12155676772193,119.32459690479122,119.81199876056124,4664200.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-11,AMGN,Amgen Inc,6.95,10.975,19.65,28.82,38.445,52.045,61.655,66.98,70.975,74.54,120.7642593383789,122.21898118570341,120.7267642660674,121.70907337442438,2723800.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-12,AMGN,Amgen Inc,6.175,10.79,19.585,28.72,39.365,51.51,60.115,64.945,68.615,71.915,119.24214935302734,120.01076460887023,117.33566248604522,119.81484510217862,4359700.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
2015-05-13,AMGN,Amgen Inc,6.18,10.8,19.59,28.73,39.9,51.75,60.145,64.86,68.45,71.695,119.35511779785156,121.50274590265938,118.7974850991458,120.37241774187477,2727000.0,5033.0,4000.0,2079.0,2603.0,1623.0,2864.0,27118.0,68952.0,30341.0,26506.0,1482.0,524.0,118.0,-867.0,765.0,1.75,2.11,770.0,79.48,51.72,41.31,37.27,13.49,32.25,6.45,23.18,8.4,13.73,5033.0,2079.0,2603.0,1623.0,2.11,760.4,44.0,53.37,114.47,8.25,270.18,0.63,37.01,121152.47,30341.0,27118.0,124375.47,0.3,30.41,9.2,2.76,25.41,0.91,23.18,0.63,14.53,5.53,5.11,0.42,8.13,45.02,4.75,77.02,1.54,236.96,204.96
